User ID,User,email,Vet ID,ชื่อ คลินิก/ โรงพยาบาลสัตว์ / ร้านค้า,แขวง/ตำบล,เขต/อำเภอ,จังหวัด,Address ID,วันที่เปิดทำการ,เวลาเปิดทำการ,เวลาปิดทำการ,ที่อยู่,เบอร์โทรคลินิก/ โรงพยาบาลสัตว์ / ร้านค้า,เลขละติจูด-ลองติจูด,Link แชร์โลเคชั่น,Facebook Page ของคลินิก/ โรงพยาบาลสัตว์ / ร้านค้า,Line@ คลินิก/ โรงพยาบาลสัตว์ / ร้านค้า
1,trio240101001,240101001@supertriodog.com,240101001,สัตวแพทย์โอภาส,หน้าเมือง,อำเภอเมืองฉะเชิงเทรา,ฉะเชิงเทรา,240101,ทุกวัน,9:00:00 AM,7:00:00 PM,486/4 ถ.ศุขประยูร,085 922 3598,"(13.6636721, 101.0933062)",สัตวแพทย์โอภาส 085 922 3598 https://maps.app.goo.gl/zoycM6bo2gnU9r1d9?g_st=ic,-,-
2,trio670101002,670101002@supertriodog.com,670101002,คลินิกรักษาสัตว์เพชรแท้,ในเมือง,อำเภอเมืองเพชรบูรณ์,เพชรบูรณ์,670101,วันจันทร์;วันอังคาร;วันพุธ;วันพฤหัส;วันศุกร์;วันเสาร์,8:30:00 AM,7:00:00 PM,470/20 ถ.เพชรเจริญ,06-3918-3637,"(16.4062571, 101.1657981)",https://maps.app.goo.gl/CaRAPxg2VucQeCUV9?g_st=ic,,
3,trio470113003,470113003@supertriodog.com,470113003,คลินิกสกลนครยาสัตว์,พังขว้าง,อำเภอเมืองสกลนคร,สกลนคร,470113,ทุกวัน,8:00:00 AM,6:30:00 PM,468 บ้านหนองยาง (ใกล้สี่แยกบ้านหนองยาง),644497462,"17.168528,104.060069",ปักหมุด https://maps.app.goo.gl/HmdsCMNKB5AikkCm7,,@268yqwwi
4,trio100608004,100608004@supertriodog.com,100608004,โรงพยาบาลสัตว์รามคำแหง60,แขวงหัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,100608,ทุกวัน,9:00:00 AM,8:00:00 PM,16-16/1 ถนน รามคำแหง ชอย รามคำแหง60,27353622,"13.760014226949638, 100.64959162329691",โรงพยาบาลสัตว์รามคำแหง60,โรงพยาบาลสัตว์รามคำแหง60,639616362
5,trio530101005,530101005@supertriodog.com,530101005,เพนนีสัตวแพทย์ (Penny Pet Clinic),ท่าอิฐ,อำเภอเมืองอุตรดิตถ์,อุตรดิตถ์,530101,วันจันทร์;วันอังคาร;วันพฤหัส;วันศุกร์;วันเสาร์;วันอาทิตย์,9:00:00 AM,7:00:00 PM,246/7 ถ.บรมอาสน์,055040211 / 0882805846,"(17.6120680, 100.0876925)",J36Q+R3P ตำบล ท่าอิฐ อำเภอเมืองอุตรดิตถ์ อุตรดิตถ์,https://www.facebook.com/PennyPetClinic?mibextid=LQQJ4d,Penny Pet Clinic
6,trio160101006,160101006@supertriodog.com,160101006,พิชัยสัตวแพทย์,ทะเลชุบศร,อำเภอเมืองลพบุรี,ลพบุรี,160101,ทุกวัน,9:00:00 AM,8:00:00 PM,2/1-3,655419532,"14.7959292, 100.6172998",https://maps.app.goo.gl/EnUqFwgqrVZ6iScw5,พิชัยสัตวแพทย์,655419532
7,trio630102007,630102007@supertriodog.com,630102007,สามชัยสัตวแพทย์,หนองหลวง,อำเภอเมืองตาก,ตาก,630102,วันจันทร์;วันอังคาร;วันพฤหัส;วันศุกร์;วันเสาร์;วันอาทิตย์,9:00:00 AM,7:30:00 PM,105-107  ถนนจอมพล,055-511810,"16.874442,99.13006",สามชัยสัตวแพทย์, -,956351905
8,trio170601008,170601008@supertriodog.com,170601008,อินทร์บุรีสัตวแพทย์,อินทร์บุรี,อำเภออินทร์บุรี,สิงห์บุรี,170601,ทุกวัน;วันจันทร์;วันอังคาร;วันพุธ;วันพฤหัส;วันศุกร์;วันเสาร์;วันอาทิตย์,9:00:00 AM,7:00:00 PM,258หมู่6,36581585,"(15.0141185, 100.3332247)",287M+M74 ตำบล อินทร์บุรี อำเภออินทร์บุรี สิงห์บุรี,อินทร์บุรีสัตวแพทย์,อินทร์บุรีสัตว์แพทย์
9,trio670301009,670301009@supertriodog.com,670301009,พรทรัพย์สัตวแพทย์,หล่มสัก,อำเภอหล่มสัก,เพชรบูรณ์,670301,ทุกวัน,9:30:00 AM,7:00:00 PM,183/4 ถนน วจี,810388857,"(16.7886986, 101.2424389)",Q6QV+F2R ตำบล ตาลเดี่ยว อำเภอหล่มสัก เพชรบูรณ์,,
10,trio102704010,102704010@supertriodog.com,102704010,บ้านหนูตูบรักษาสัตว์,แขวงนวมินทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,102704,ทุกวัน;วันจันทร์;วันอังคาร;วันพุธ;วันพฤหัส;วันเสาร์;วันอาทิตย์,9:30:00 AM,7:30:00 PM,97/365 ถนนโพธิ์แก้ว,25091387,"(13.8011975, 100.6464743)",0,www.facebook.com/บ้านหนูตูบรักษาสัตว์,@baannootoob
